"id","label"
"http://purl.org/sig/ont/fma/fma6706","Branch of external laryngeal nerve to pharyngeal nerve plexus"
"http://purl.org/sig/ont/fma/fma6708","Communicating branch of external laryngeal nerve with superior cardiac nerve"
"http://purl.org/sig/ont/fma/fma6709","External laryngeal branch to superior cervical sympathetic ganglion"
"http://purl.org/sig/ont/fma/fma6720","Spinal accessory nerve"
"http://purl.org/sig/ont/fma/fma77991","Parotid branch of glossopharyngeal nerve"
"http://purl.org/sig/ont/fma/fma55221","Diffuse lymphoid tissue"
"http://purl.org/sig/ont/fma/fma57674","Ala of vomer"
"http://purl.org/sig/ont/fma/fma57703","Nasal surface of maxilla"
"http://purl.org/sig/ont/fma/fma6234","Pharyngeal branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma6245","Inferior cervical cardiac branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma5955","Left paratracheal lymph node"
"http://purl.org/sig/ont/fma/fma66052","Branch of sacral nerve plexus to external anal sphincter"
"http://purl.org/sig/ont/fma/fma77439","Artery of central sulcus"
"http://purl.org/sig/ont/fma/fma61917","Subclavian nerve plexus"
"http://purl.org/sig/ont/fma/fma6241","Upper branch of internal laryngeal nerve"
"http://purl.org/sig/ont/fma/fma6472","Lumbar ganglion"
"http://purl.org/sig/ont/fma/fma6473","Sacral ganglion"
"http://purl.org/sig/ont/fma/fma6475","Second thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6476","Third thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6477","Fourth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6478","Fifth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6479","Sixth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6480","Seventh thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6481","Eighth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6482","Ninth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6483","Tenth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6484","Eleventh thoracic ganglion"
"http://purl.org/sig/ont/fma/fma6485","Twelfth thoracic ganglion"
"http://purl.org/sig/ont/fma/fma65279","Dorsal scapular nerve"
"http://purl.org/sig/ont/fma/fma65303","Superior lateral cutaneous nerve of arm"
"http://purl.org/sig/ont/fma/fma65311","Anterior branch of medial cutaneous nerve of forearm"
"http://purl.org/sig/ont/fma/fma65312","Posterior branch of medial cutaneous nerve of forearm"
"http://purl.org/sig/ont/fma/fma6540","First lumbar ganglion"
"http://purl.org/sig/ont/fma/fma6541","Second lumbar ganglion"
"http://purl.org/sig/ont/fma/fma6542","Third lumbar ganglion"
"http://purl.org/sig/ont/fma/fma6543","Fourth lumbar ganglion"
"http://purl.org/sig/ont/fma/fma65514","Esophageal branch of vagal trunk"
"http://purl.org/sig/ont/fma/fma65515","Pulmonary branch of vagus nerve"
"http://purl.org/sig/ont/fma/fma6552","First sacral ganglion"
"http://purl.org/sig/ont/fma/fma6553","Second sacral ganglion"
"http://purl.org/sig/ont/fma/fma6554","Third sacral ganglion"
"http://purl.org/sig/ont/fma/fma6555","Fourth sacral ganglion"
"http://purl.org/sig/ont/fma/fma65910","Gray communicating ramus of first lumbar nerve"
"http://purl.org/sig/ont/fma/fma65911","Gray communicating ramus of second lumbar nerve"
"http://purl.org/sig/ont/fma/fma65913","Gray communicating ramus of fourth lumbar nerve"
"http://purl.org/sig/ont/fma/fma65914","Gray communicating ramus of fifth lumbar nerve"
"http://purl.org/sig/ont/fma/fma65986","Gray communicating ramus of first sacral nerve"
"http://purl.org/sig/ont/fma/fma65987","Gray communicating ramus of second sacral nerve"
"http://purl.org/sig/ont/fma/fma65988","Gray communicating ramus of third sacral nerve"
"http://purl.org/sig/ont/fma/fma65989","Gray communicating ramus of fourth sacral nerve"
"http://purl.org/sig/ont/fma/fma65990","Gray communicating ramus of fifth sacral nerve"
"http://purl.org/sig/ont/fma/fma66061","Branch of posterior femoral cutaneous nerve to back of thigh and leg"
"http://purl.org/sig/ont/fma/fma66174","Retrocaval lymph node"
